Gene	AS_event_ID	chromosome	strand	Composite_coordinates	pvalue	qvalue	deltaPSI_control-KD
Pura	chr3L_+_7591571_7591584_7593285_7593445_7597403_7602786	chr3L	+	7591571;7591584;7593285;7593445;7597403;7602786	0.0387487124099546	0.158404825287478	0.0309333333333333;-0.0309333333333333;-0.0377333333333333;0.0102;0.0343666666666665;-0.00683333333333333;0.2049;-0.2049;-0.140533333333333;0.140533333333333
Ank2	chr3L_-_7661506_7661979_7662298_7662469_7662890_7663257	chr3L	-	7661506;7661979;7662298;7662469;7662890;7663257	0.00358653893500899	0.0258241255014473	-0.1617;0.1617;-0.0301333333333332;0.0301333333333333;0.0502666666666667;0.0333666666666667;-0.0836333333333333
Ank2	chr3L_-_7663324_7663691_7665982_7666164_7693723_7695374_7696642	chr3L	-	7663324;7663691;7665982;7666164;7693723;7695374;7696642	9.36082746072917e-29	1.73299399684352e-26	0.221566666666667;-0.221566666666667;-0.104633333333333;-0.0218333333333333;0.126533333333333;-0.0592666666666666;0.556066666666667;-0.496833333333333;0.0992;0.162766666666667;-0.261933333333333
Clk	chr3L_-_7767085_7767089_7767147_7767318_7767427_7767528_7767983_7768040_7768046_7768051_7768467	chr3L	-	7767085;7767089;7767147;7767318;7767427;7767528;7767983;7768040;7768046;7768051;7768467	1.86246754416779e-06	3.82013976707801e-05	0.0101;-0.0100999999999999;-0.693566666666667;0.693566666666667;0.0171999999999998;-0.00173333333333333;-0.0025;-0.00646666666666667;-0.0263333333333333;0.0199;-0.0296666666666667;0.0158333333333333;0.0138333333333333
pbl	chr3L_-_7898854_7899267_7900078_7901453_7901613	chr3L	-	7898854;7899267;7900078;7901453;7901613	6.79880562011576e-23	8.63166149885093e-21	0.0407333333333333;-0.0407333333333334;-0.550333333333333;0.394166666666667;0.156166666666667
syd	chr3L_-_7926837_7927486_7927579_7927758_7927820_7927915	chr3L	-	7926837;7927486;7927579;7927758;7927820;7927915	0.00478316676740182	0.0324540997364449	0.0892666666666666;-0.0892666666666667;-0.1678;0.1678;-0.0283666666666667;0.0982333333333333;-0.0698
Nulp1	chr3L_+_8112714_8112780_8112961_8113010_8116529_8117303	chr3L	+	8112714;8112780;8112961;8113010;8116529;8117303	2.06822351129899e-06	4.20059268382416e-05	-0.0169333333333333;0.0169333333333332;0.0221666666666667;-0.0009;-0.0161666666666667;-0.00516666666666667
UbcE2M	chr3L_-_8197958_8197984_8200053_8209774	chr3L	-	8197958;8197984;8200053;8209774	0.00286070160583489	0.0216001800494169	0.0437333333333333;-0.0437333333333334;0.1727;-0.1727;0.343666666666667;-0.343666666666667;0.313766666666667;-0.313766666666667
CG7213	chr3L_-_8224656_8228353_8232156_8232893_8239135	chr3L	-	8224656;8228353;8232156;8232893;8239135	1.5905875649818e-05	0.000260931909504586	-0.178566666666667;-0.259533333333333;0.438066666666667;0.177433333333333;-0.177433333333333
Dscam4	chr3L_+_8279966_8280258_8280327_8280409_8280518	chr3L	+	8279966;8280258;8280327;8280409;8280518	0.00706595498808892	0.0443112079646447	-0.183233333333333;0.183233333333333;0.239866666666667;-0.1265;-0.113366666666667
BI-1	chr3L_-_8307380_8307591_8307726_8307732_8307745_8307792	chr3L	-	8307380;8307591;8307726;8307732;8307745;8307792	1.85328669206892e-28	3.33492970266665e-26	-0.132233333333333;0;0.1321;0.000233333333333333;0.129366666666667;-0.129366666666667
BI-1	chr3L_-_8308789_8308919_8308935_8308947_8308994_8309050_8309241	chr3L	-	8308789;8308919;8308935;8308947;8308994;8309050;8309241	1.93382727236985e-06	3.95262481082759e-05	-0.333233333333333;0.1159;-0.0422333333333333;0.259566666666667;0.109933333333333;-0.109933333333333;0.3012;-0.3012
dac	chr2L_-_16475405_16475411_16481523_16481551_16483806	chr2L	-	16475405;16475411;16481523;16481551;16483806	1.71891942686777e-07	4.2966966109499e-06	-0.204366666666667;-0.130266666666667;0.3346;-0.0183;0.0183
Idh	chr3L_-_8357905_8357935_8357956_8358014_8358072_8358554_8358715_8358848_8360791	chr3L	-	8357905;8357935;8357956;8358014;8358072;8358554;8358715;8358848;8360791	0.00268426738873497	0.020506602606698	0.0286;-0.0270999999999999;-0.00153333333333333;0.000366666666666626;-0.0154333333333333;0.0150666666666666;-0.00476666666666681;0.00476666666666666;0.0700333333333333;-0.0271666666666666;-0.0429000000000002;0.00823333333333343;-0.00823333333333333;-0.0533999999999999;0.0534
Oseg1	chr3L_-_8411345_8411427_8411609_8411683_8412045	chr3L	-	8411345;8411427;8411609;8411683;8412045	4.2162744478409e-13	2.32695607219714e-11	-0.425666666666667;0.520966666666667;-0.0953333333333333;0.0927999999999999;-0.0928
rhea	chr3L_+_8543782_8545089_8546875_8555729_8555971_8555981_8561357	chr3L	+	8543782;8545089;8546875;8555729;8555971;8555981;8561357	0.000834108949026604	0.00787652403269412	0.0549333333333333;-0.0957;0.0407666666666667;0.043;-0.0475;0.00446666666666667;-0.123766666666666;0.123766666666667
Zasp66	chr3L_+_8621716_8621771_8624683_8626510_8626959	chr3L	+	8621716;8621771;8624683;8626510;8626959	1.71960815877709e-09	5.92011509796351e-08	-0.3905;-0.00950000000000006;0.400066666666667;0.000766666666666693;-0.000766666666666667
chinmo	chr2L_+_1653835_1670142_1670189_1678867_1678920_1690115	chr2L	+	1653835;1670142;1670189;1678867;1678920;1690115	0.0173904769955755	0.0887638354260899	0.109533333333333;-0.109533333333333;0.0404999999999998;-0.0405;-0.0383666666666667;0.0387;-0.000333333333333297
orb2	chr3L_-_8936770_8942695_8944520_8944816_8947826	chr3L	-	8936770;8942695;8944520;8944816;8947826	1.61054309926489e-06	3.35048248833794e-05	-0.0227333333333333;0.0227333333333334;-0.161266666666667;0.161266666666667;0.0496666666666666;-0.0496666666666667
orb2	chr3L_-_8949750_8949759_8952817_8953931_8954376	chr3L	-	8949750;8949759;8952817;8953931;8954376	0.00164714783151857	0.0138536820953894	-0.00146666666666666;0.00146666666666695;-0.0103333333333333;0.0109;-0.000566666666666666
CG31816	chr2L_+_16542783_16542991_16542996_16545438_16557877	chr2L	+	16542783;16542991;16542996;16545438;16557877	3.24232252496142e-72	2.93366255388798e-69	-0.6379;0.6379;0.0226666666666667;0.00116666666666667;-0.0238333333333333
Argk	chr3L_-_9050359_9051128_9051691_9051696_9051707_9051717_9053447_9053518_9057541_9061905	chr3L	-	9050359;9051128;9051691;9051696;9051707;9051717;9053447;9053518;9057541;9061905	0.000171230308558827	0.00204727456767683	0.0205666666666667;0.00396666666666667;-0.0205666666666667;0.0305333333333333;-0.0346;0.0687333333333333;0.00306666666666667;-0.0384333333333333;-0.0334666666666666;-0.0492666666666667;0.0492666666666666
mtgo	chr2L_+_16559944_16571421_16622841_16634724_16652741	chr2L	+	16559944;16571421;16622841;16634724;16652741	0.000927072047452128	0.00860885160456377	-0.0593333333333333;0.0593333333333333;-0.2531;0.2531;0.0280666666666667;-0.0280666666666668
bol	chr3L_-_9102748_9102807_9102851_9106173_9106270_9106517_9107155_9107340_9108191_9108967_9112632	chr3L	-	9102748;9102807;9102851;9106173;9106270;9106517;9107155;9107340;9108191;9108967;9112632	0.00251745772901919	0.0194801255083018	-0.000666666666666667;0.00353333333333306;0.000566666666666667;-0.0037;0.0003;0.00423333333333333;-0.00363333333333338;-0.0006;0.0005;-0.000633333333333333;-0.00333333333333319;0.0034
bol	chr3L_-_9113483_9113487_9123614_9129895_9135758	chr3L	-	9113483;9113487;9123614;9129895;9135758	1.92583494733216e-06	3.93754178394542e-05	-0.0156333333333333;0.0156333333333332;0.000833333333333333;0.00160000000000016;-0.0024
eIF4E1	chr3L_-_9400953_9401038_9401367_9401606_9401655_9401718_9401783_9401915_9402097_9402169_9402208_9402278	chr3L	-	9400953;9401038;9401367;9401606;9401655;9401718;9401783;9401915;9402097;9402169;9402208;9402278	3.63506839858436e-06	6.99581872359071e-05	0.0960333333333333;-0.0294999999999999;-0.0666333333333333;0.280366666666667;-0.280366666666667;0.154666666666667;-0.1738;0.0191333333333333;-0.0203999999999998;0.0204;-0.035;0.00623333333333333;0.0272;-0.0052;-0.00466666666666667;0.0111333333333333;0.000299999999999856;-0.0357666666666667;0.0357666666666667;-0.247833333333333;0.247833333333333
Tat	chr3L_-_9415466_9415798_9417196_9417627_9417650_9417814_9418342	chr3L	-	9415466;9415798;9417196;9417627;9417650;9417814;9418342	1.56791564430155e-30	3.25969155034225e-28	0.00723333333333331;-0.00723333333333333;-0.00166666666666667;-0.0037;0.0054333333333334;-0.1723;0.0119;0.161866666666667;-0.0014;Inf;Inf
Tat	chr3L_-_9419271_9419366_9419895_9420029_9420086_9426221	chr3L	-	9419271;9419366;9419895;9420029;9420086;9426221	1.56114099344861e-08	4.67331120969862e-07	-0.00176666666666681;0.00176666666666666;-0.00386666666666667;0.00553333333333333;0.173566666666667;-0.175266666666667
NONE	chr3L_+_9426170_9426506_9426667_9426941_9427073	chr3L	+	9426170;9426506;9426667;9426941;9427073	0.000475934286377839	0.00487010106581694	-0.385533333333333;0.609433333333333;-0.2239;0.178166666666667;-0.178166666666667;0.295966666666667;-0.295966666666667;-0.1143;0.1143
CG3529	chr3L_+_9449815_9449824_9450016_9450068_9450230	chr3L	+	9449815;9449824;9450016;9450068;9450230	0.00544135582386066	0.0360369215959415	-0.0388666666666667;0.0388666666666667;0.0716666666666667;-0.0716666666666668;-0.0676999999999999;0.0677
fry	chr3L_-_9633924_9634020_9634402_9634433_9634685	chr3L	-	9633924;9634020;9634402;9634433;9634685	3.338766857282e-10	1.29208266071478e-08	0.0940666666666665;-0.0940666666666667;-0.0049;-0.0845333333333333;0.0894333333333333
Ubc4	chr3L_+_9695630_9697454_9698737_9698755_9698964_9699118_9699344	chr3L	+	9695630;9697454;9698737;9698755;9698964;9699118;9699344	3.141189451566e-08	8.90133002020519e-07	0.0028;-0.00153333333333333;-0.00123333333333331;0.00296666666666667;-0.00296666666666667;-0.504666666666667;0.2327;0.271966666666667
CG43897	chr3L_+_9830785_9830998_9831440_9832194_9832197	chr3L	+	9830785;9830998;9831440;9832194;9832197	0.000756450192359393	0.00724867494143194	-0.139833333333333;0.139833333333333;0.169866666666666;-0.169866666666667;-0.110566666666667;-0.0196666666666666;0.130266666666667;0.360733333333333;-0.360733333333333
Mical	chr3R_-_10015926_10016288_10016826_10017571_10017839_10018495	chr3R	-	10015926;10016288;10016826;10017571;10017839;10018495	0.000208031887684701	0.00241413796451223	0.0908;-0.124466666666667;0.0336666666666667;-0.0512999999999999;0.0513;0.0796666666666667;-0.0796666666666667
Cyt-c-d	chr2L_+_16703293_16715987_16716049_16716058_16716217_16716615_16719124	chr2L	+	16703293;16715987;16716049;16716058;16716217;16716615;16719124	1.76641635212099e-07	4.40342851674833e-06	0.000166666666666667;-6.66666666666667e-05;-0.0001000000000001;0.0583666666666667;0.00986666666666668;-0.0682666666666666;0.000866666666666667;-0.000866666666666571
Mical	chr3R_-_10021383_10021644_10021707_10027328_10027381_10037814	chr3R	-	10021383;10021644;10021707;10027328;10027381;10037814	0.0430738221858471	0.170527341336875	-0.0639666666666667;0.0639666666666665;-0.0203333333333333;-0.0239666666666667;0.0839333333333333;-0.0397
VhaSFD	chr2L_-_16723897_16723995_16724001_16724056_16724067	chr2L	-	16723897;16723995;16724001;16724056;16724067	0.000325025142868591	0.0035311923225133	0.0539666666666667;0.000200000000000001;-0.0542;0.0482;-0.0481999999999999
CG31406	chr3R_+_10349117_10349178_10349482_10349543_10349550	chr3R	+	10349117;10349178;10349482;10349543;10349550	0.0359519612013215	0.150414659052496	0.0036;-0.00360000000000016;-0.00356666666666683;0.00356666666666667;0.00173333333333336;-0.00173333333333333
CG14691	chr3R_-_10754855_10754869_10754872_10754922_10754926_10754928	chr3R	-	10754855;10754869;10754872;10754922;10754926;10754928	0.0363205807442118	0.151469589021574	-0.0897333333333332;0.0523666666666667;0.0373666666666666;0.00916666666666677;-0.00916666666666667;-0.0172666666666667;0.0172666666666667;0.0981666666666666;-0.15;0.0518
Adk3	chr3R_-_10888343_10889064_10889071_10889404_10891980_10892083	chr3R	-	10888343;10889064;10889071;10889404;10891980;10892083	0.0014315041443114	0.0123305521231844	0.2273;-0.2273;0.000566666666666715;-3.33333333333366e-05;-0.0014;0.000933333333333334
Mhc	chr2L_+_16771141_16771341_16771446_16771940_16772045_16774448	chr2L	+	16771141;16771341;16771446;16771940;16772045;16774448	0.0132061866388303	0.0717725394784296	0.0567666666666667;-0.00309999999999999;-0.0536333333333335;0.0113666666666667;-0.0725333333333332;0.0611666666666667
scpr-A	chr3R_+_11225649_11225701_11241315_11241327_11241379	chr3R	+	11225649;11225701;11241315;11241327;11241379	7.61569549527671e-10	2.7718974181987e-08	0.0079;-0.00816666666666654;0.0003;-0.00730000000000008;0.0073
CG31441	chr3R_+_11232760_11232969_11235082_11235137_11235389_11236484_11236488_11236492_11236548	chr3R	+	11232760;11232969;11235082;11235137;11235389;11236484;11236488;11236492;11236548	0.000146158579819369	0.00178403445300705	-0.0672;0.3058;-0.238633333333333;0.0655666666666667;-0.0190333333333333;0.168233333333333;-0.2148;0.0900333333333333;-0.107;0.017
CG34367	chr2L_-_10348196_10348260_10348658_10348973_10350718_10350777_10351713	chr2L	-	10348196;10348260;10348658;10348973;10350718;10350777;10351713	1.89580307951526e-13	1.07968338325479e-11	-0.0198666666666667;-0.227366666666667;0.247266666666667;0.0833;-0.0639333333333332;-0.0194666666666667;0.225533333333333;-0.225533333333333
Jupiter	chr3R_-_11591307_11591421_11591499_11591860_11591907_11591911_11591993_11592247_11592365	chr3R	-	11591307;11591421;11591499;11591860;11591907;11591911;11591993;11592247;11592365	6.18810140062038e-06	0.000111759860016096	-0.00403333333333333;-0.000366666666666667;0.0019;0.00250000000000006;0.000233333333333333;0.0364999999999998;-0.000933333333333331;-6.66666666666667e-05;-0.0356666666666667
CG6808	chr3R_-_11623233_11623329_11623390_11624794_11624828_11625186_11625473	chr3R	-	11623233;11623329;11623390;11624794;11624828;11625186;11625473	5.42850678583597e-06	9.98090167226355e-05	-0.125266666666667;0.0202;0.2558;-0.1507;0.2221;0.197433333333333;-0.419466666666667
mfas	chr3R_-_11989325_11989328_11989523_11992070_11992143_11992740	chr3R	-	11989325;11989328;11989523;11992070;11992143;11992740	0.00738689108986269	0.0459292751165185	0.0191333333333333;-0.0141666666666667;-0.00496666666666667;0.000633333333333333;0.0411;0.0469333333333333;-0.0885333333333334;-0.00493333333333323;0.00493333333333333;-0.0629999999999998;0.063;-0.119033333333333;0.119033333333333
CG14736	chr3R_+_12041929_12042002_12042100_12042161_12042181_12042204_12042385	chr3R	+	12041929;12042002;12042100;12042161;12042181;12042204;12042385	0.0316171349056262	0.137607445297257	-0.0015;-0.00773333333333333;0.0052;0.00406666666666677;0.1354;-0.1354;0.00696666666666679;-0.00696666666666667
ATP8B	chr3R_-_12073616_12074202_12074457_12074890_12074893_12075172	chr3R	-	12073616;12074202;12074457;12074890;12074893;12075172	6.26475674010785e-05	0.000866797841355305	0.0112;0.0005;-0.0116666666666667;-0.1847;-0.0125;0.197233333333333
dpr17	chr3R_+_12097016_12098656_12106306_12107118_12107137_12107140_12108082_12109932	chr3R	+	12097016;12098656;12106306;12107118;12107137;12107140;12108082;12109932	3.46648166410971e-45	1.45549182081093e-42	-0.000933333333333333;0.000933333333333342;-0.0283333333333333;0.0283333333333334;0.0011;-0.000833333333333334;0.0242666666666664;9.99999999999998e-05;-0.0247
asRNA:CR43477	chr3R_+_12226071_12226648_12226757_12226818_12228662	chr3R	+	12226071;12226648;12226757;12226818;12228662	2.17657233034484e-05	0.000346960752043877	-0.308766666666667;0.308766666666667;-0.0559333333333334;-0.306866666666667;0.362833333333333
svp	chr3R_+_12258851_12261657_12261948_12262417_12263309_12264880_12282249_12290207	chr3R	+	12258851;12261657;12261948;12262417;12263309;12264880;12282249;12290207	1.22220694572678e-21	1.44330508089033e-19	Inf;Inf;-0.0274333333333332;0.0274333333333333;-0.139266666666667;0.4026;-0.0247333333333333;0.0024;-0.2409
vrs	chr3R_+_12447847_12448066_12448107_12448131_12448140	chr3R	+	12447847;12448066;12448107;12448131;12448140	1.14249253056247e-07	2.94049930512274e-06	-0.00216666666666667;0.00216666666666654;0.0002;-0.000733333333333475;0.000566666666666667
d-cup	chr3R_+_12892411_12892465_12892497_12895464_12895735_12895802_12896014	chr3R	+	12892411;12892465;12892497;12895464;12895735;12895802;12896014	2.32844009767841e-13	1.31211684486806e-11	-0.0855666666666667;0.0855666666666667;0.0791999999999999;0.0006;-0.0622;-0.00486666666666667;-0.0126333333333333
grsm	chr3R_-_12960317_12960604_12961441_12966476_12966551_12966748_12967158	chr3R	-	12960317;12960604;12961441;12966476;12966551;12966748;12967158	1.29941006922537e-20	1.3797587149935e-18	-0.037133333333333;-0.0034;0.0429333333333333;-0.00236666666666667;0.0081;-0.00810000000000011;-0.120633333333333;0.120633333333333
CtBP	chr3R_+_13021642_13024798_13024822_13025029_13025044_13025387	chr3R	+	13021642;13024798;13024822;13025029;13025044;13025387	0.00486974569771221	0.0329545279012673	-0.0869000000000001;-0.0218333333333333;0.108766666666667;0.0333;0.00443333333333332;-0.0377666666666667
CG46280	chr3R_-_13030080_13030154_13030209_13030220_13030268_13030412	chr3R	-	13030080;13030154;13030209;13030220;13030268;13030412	0.0270166563296417	0.122837923368427	-0.00776666666666667;0.0077666666666667;-0.00366666666666667;0.0071;0.0036;-0.00703333333333334
poly	chr3R_-_13362857_13364315_13364321_13364574_13366758	chr3R	-	13362857;13364315;13364321;13364574;13366758	3.27792528846892e-06	6.3811272259555e-05	0.00226666666666675;-0.00226666666666667;-0.0087;-0.00183333333333333;0.0104666666666668
yrt	chr3R_-_13426130_13426145_13429769_13430191_13430750_13430921	chr3R	-	13426130;13426145;13429769;13430191;13430750;13430921	0.000431116365139777	0.00448507634217723	-0.0258333333333333;-0.00923333333333333;0.146766666666667;-0.111833333333333;-0.120833333333333;0.120833333333333
B52	chr3R_+_13663051_13663453_13663932_13663990_13664010_13664934_13665451	chr3R	+	13663051;13663453;13663932;13663990;13664010;13664934;13665451	6.78844482498478e-06	0.000121509190304221	-0.370233333333333;0.370233333333333;-0.0331666666666666;0.0331666666666667;0.0399;-0.00413333333333333;-0.0357333333333332;-0.0335000000000001;0.0335
Task6	chr3R_-_13668834_13668959_13669015_13669049_13669534	chr3R	-	13668834;13668959;13669015;13669049;13669534	0.000604285103919945	0.00597872776234733	0.0886666666666666;-0.0886666666666667;-0.177233333333333;0.177233333333333;0.137166666666667;-0.137166666666667
